dateCons;codeINSEE;Consommation
2016-09;44;3348
2016-10;44;3896
2016-11;44;4352
2016-12;44;4752
2017-01;44;5307
2017-02;44;4198
2017-03;44;4123
2017-04;44;3607
2017-05;44;3480
2017-06;44;3318
2017-07;44;3332
2017-08;44;3022
2017-09;44;3427
2017-10;44;3811
2017-11;44;4334
2017-12;44;4654
2018-01;44;4498
2018-02;44;4584
2018-03;44;4581
2018-04;44;3523
2018-05;44;3372
2018-06;44;3310
2018-07;44;3403
2018-08;44;3099
2018-09;44;3297
2018-10;44;3813
2018-11;44;4220
2018-12;44;4359
2019-01;44;4916
2019-02;44;4148
2019-03;44;4116
2019-04;44;3642
2019-05;44;3521
2019-06;44;3199
2019-07;44;3298
2019-08;44;2969
2019-09;44;3189
2019-10;44;3746
2019-11;44;4254
2019-12;44;4479
2014-01;52;2875
2014-02;52;2618
2014-03;52;2495
2014-04;52;2099
2014-05;52;1920
2014-06;52;1809
2014-07;52;1894
2014-08;52;1693
2014-09;52;1806
2014-10;52;1987
2014-11;52;2278
2014-12;52;2835
2015-01;52;3051
2015-02;52;2857
2015-03;52;2675
2015-04;52;2074
2015-05;52;1872
2015-06;52;1810
2015-07;52;1896
2015-08;52;1736
2015-09;52;1842
2015-10;52;2176
2015-11;52;2257
2015-12;52;2536
2016-01;52;2881
2016-02;52;2681
2016-03;52;2752
2016-04;52;2341
2016-05;52;1940
2016-06;52;1802
2016-07;52;1847
2016-08;52;1792
2016-09;52;1833
2016-10;52;2197
2016-11;52;2532
2016-12;52;2967
2017-01;52;3351
2017-02;52;2576
2017-03;52;2526
2017-04;52;2104
2017-05;52;1974
2017-06;52;1852
2017-07;52;1878
2017-08;52;1771
2017-09;52;1868
2017-10;52;2047
2017-11;52;2559
2017-12;52;2925
2018-01;52;2813
2018-02;52;2962
2018-03;52;2837
2018-04;52;2129
2018-05;52;1915
2018-06;52;1827
2018-07;52;1918
2018-08;52;1782
2018-09;52;1810
2018-10;52;2106
2018-11;52;2567
2018-12;52;2737
2019-01;52;3118
2019-02;52;2567
2019-03;52;2530
2019-04;52;2193
2019-05;52;1965
2019-06;52;1789
2019-07;52;1921
2019-08;52;1736
2019-09;52;1807
2019-10;52;2084
2019-11;52;2616
2019-12;52;2816
2014-01;53;2390
2014-02;53;2160
2014-03;53;2084
2014-04;53;1746
2014-05;53;1567
2014-06;53;1428
2014-07;53;1501
2014-08;53;1437
2014-09;53;1476
2014-10;53;1643
2014-11;53;1899
2014-12;53;2318
2015-01;53;2462
2015-02;53;2342
2015-03;53;2224
2015-04;53;1712
2015-05;53;1587
2015-06;53;1471
2015-07;53;1509
2015-08;53;1458
2015-09;53;1499
2015-10;53;1755
2015-11;53;1844
2015-12;53;2041
2016-01;53;2388
2016-02;53;2233
2016-03;53;2296
2016-04;53;1918
2016-05;53;1562
2016-06;53;1458
2016-07;53;1460
2016-08;53;1439
2016-09;53;1464
2016-10;53;1765
2016-11;53;2097
2016-12;53;2386
2017-01;53;2723
2017-02;53;2146
2017-03;53;2051
2017-04;53;1683
2017-05;53;1556
2017-06;53;1434
2017-07;53;1477
2017-08;53;1456
2017-09;53;1529
2017-10;53;1688
2017-11;53;2104
2017-12;53;2432
2018-01;53;2372
2018-02;53;2422
2018-03;53;2411
2018-04;53;1757
2018-05;53;1532
2018-06;53;1444
2018-07;53;1490
2018-08;53;1466
2018-09;53;1458
2018-10;53;1745
2018-11;53;2139
2018-12;53;2284
2019-01;53;2564
2019-02;53;2126
2019-03;53;2112
2019-04;53;1851
2019-05;53;1631
2019-06;53;1480
2019-07;53;1524
2019-08;53;1466
2019-09;53;1481
2019-10;53;1784
2019-11;53;2211
2019-12;53;2410
2014-01;75;4501
2014-02;75;4184
2014-03;75;3993
2014-04;75;3237
2014-05;75;3100
2014-06;75;2930
2014-07;75;3123
2014-08;75;2893
2014-09;75;2961
2014-10;75;3150
2014-11;75;3592
2014-12;75;4600
2015-01;75;4952
2015-02;75;4573
2015-03;75;4213
2015-04;75;3278
2015-05;75;2959
2015-06;75;2970
2015-07;75;3278
2015-08;75;2945
2015-09;75;2971
2015-10;75;3509
2015-11;75;3658
2015-12;75;4173
2016-01;75;4510
2016-02;75;4240
2016-03;75;4304
2016-04;75;3581
2016-05;75;3091
2016-06;75;2914
2016-07;75;3187
2016-08;75;3121
2016-09;75;2973
2016-10;75;3409
2016-11;75;3988
2016-12;75;4618
2017-01;75;5378
2017-02;75;3983
2017-03;75;3900
2017-04;75;3304
2017-05;75;3085
2017-06;75;2999
2017-07;75;3126
2017-08;75;3067
2017-09;75;3003
2017-10;75;3235
2017-11;75;4173
2017-12;75;4832
2018-01;75;4498
2018-02;75;4727
2018-03;75;4389
2018-04;75;3269
2018-05;75;3096
2018-06;75;2908
2018-07;75;3226
2018-08;75;3135
2018-09;75;2953
2018-10;75;3315
2018-11;75;4024
2018-12;75;4295
2019-01;75;5112
2019-02;75;4020
2019-03;75;3900
2019-04;75;3433
2019-05;75;3224
2019-06;75;2947
2019-07;75;3245
2019-08;75;3023
2019-09;75;2935
2019-10;75;3221
2019-11;75;4156
2019-12;75;4371
2014-01;76;3831
2014-02;76;3467
2014-03;76;3306
2014-04;76;2664
2014-05;76;2526
2014-06;76;2484
2014-07;76;2585
2014-08;76;2497
2014-09;76;2551
2014-10;76;2549
2014-11;76;2940
2014-12;76;3947
2015-01;76;4219
2015-02;76;3947
2015-03;76;3450
2015-04;76;2686
2015-05;76;2453
2015-06;76;2520
2015-07;76;2862
2015-08;76;2522
2015-09;76;2406
2015-10;76;2801
2015-11;76;3114
2015-12;76;3566
2016-01;76;3929
2016-02;76;3621
2016-03;76;3674
2016-04;76;2904
2016-05;76;2612
2016-06;76;2482
2016-07;76;2757
2016-08;76;2759
2016-09;76;2623
2016-10;76;2828
2016-11;76;3335
2016-12;76;3979
2017-01;76;4762
2017-02;76;3433
2017-03;76;3273
2017-04;76;2719
2017-05;76;2656
2017-06;76;2658
2017-07;76;2737
2017-08;76;2757
2017-09;76;2560
2017-10;76;2701
2017-11;76;3615
2017-12;76;4472
2018-01;76;3969
2018-02;76;4160
2018-03;76;3859
2018-04;76;2875
2018-05;76;2705
2018-06;76;2544
2018-07;76;2909
2018-08;76;2840
2018-09;76;2591
2018-10;76;2809
2018-11;76;3399
2018-12;76;3851
2019-01;76;4670
2019-02;76;3624
2019-03;76;3320
2019-04;76;3047
2019-05;76;2709
2019-06;76;2539
2019-07;76;2974
2019-08;76;2750
2019-09;76;2592
2019-10;76;2683
2019-11;76;3509
2019-12;76;3705
2014-01;84;6693
2014-02;84;6013
2014-03;84;5965
2014-04;84;5139
2014-05;84;4858
2014-06;84;4621
2014-07;84;4823
2014-08;84;4299
2014-09;84;4716
2014-10;84;5085
2014-11;84;5643
2014-12;84;6705
2015-01;84;7123
2015-02;84;6683
2015-03;84;6326
2015-04;84;5283
2015-05;84;4839
2015-06;84;4848
2015-07;84;5124
2015-08;84;4508
2015-09;84;4797
2015-10;84;5606
2015-11;84;5829
2015-12;84;6269
2016-01;84;6913
2016-02;84;6482
2016-03;84;6641
2016-04;84;5431
2016-05;84;4974
2016-06;84;4674
2016-07;84;4815
2016-08;84;4435
2016-09;84;4709
2016-10;84;5475
2016-11;84;6088
2016-12;84;7130
2017-01;84;8014
2017-02;84;6086
2017-03;84;5969
2017-04;84;5180
2017-05;84;5006
2017-06;84;4778
2017-07;84;4875
2017-08;84;4515
2017-09;84;4776
2017-10;84;5158
2017-11;84;6331
2017-12;84;7226
2018-01;84;6759
2018-02;84;6904
2018-03;84;6737
2018-04;84;5142
2018-05;84;4886
2018-06;84;4719
2018-07;84;4993
2018-08;84;4568
2018-09;84;4664
2018-10;84;5263
2018-11;84;5948
2018-12;84;6671
2019-01;84;7610
2019-02;84;6220
2019-03;84;6059
2019-04;84;5278
2019-05;84;5046
2019-06;84;4622
2019-07;84;4906
2019-08;84;4359
2019-09;84;4531
2019-10;84;4929
2019-11;84;5842
2019-12;84;6310
2014-01;93;4314
2014-02;93;3931
2014-03;93;3694
2014-04;93;3064
2014-05;93;2948
2014-06;93;2901
2014-07;93;3167
2014-08;93;3044
2014-09;93;2922
2014-10;93;2996
2014-11;93;3430
2014-12;93;4191
2015-01;93;4519
2015-02;93;4222
2015-03;93;3868
2015-04;93;3096
2015-05;93;2836
2015-06;93;2872
2015-07;93;3395
2015-08;93;3175
2015-09;93;2929
2015-10;93;3228
2015-11;93;3544
2015-12;93;3985
2016-01;93;4320
2016-02;93;3865
2016-03;93;3889
2016-04;93;3091
2016-05;93;2919
2016-06;93;2824
2016-07;93;3176
2016-08;93;3080
2016-09;93;2971
2016-10;93;3148
2016-11;93;3610
2016-12;93;4122
2017-01;93;4721
2017-02;93;3559
2017-03;93;3476
2017-04;93;3011
2017-05;93;3007
2017-06;93;3028
2017-07;93;3210
2017-08;93;3186
2017-09;93;2880
2017-10;93;2942
2017-11;93;3673
2017-12;93;4584
2018-01;93;4014
2018-02;93;4190
2018-03;93;4042
2018-04;93;3072
2018-05;93;2869
2018-06;93;2843
2018-07;93;3191
2018-08;93;3122
2018-09;93;2781
2018-10;93;2838
2018-11;93;3424
2018-12;93;4084
2019-01;93;4676
2019-02;93;3797
2019-03;93;3466
2019-04;93;3248
2019-05;93;2969
2019-06;93;2923
2019-07;93;3321
2019-08;93;3192
2019-09;93;2855
2019-10;93;2915
2019-11;93;3685
2019-12;93;3930
