ClePrimaire;dateProd;codeINSEE;QuantiteProd;typeProd
;2014-01;32;4008;nucléaire
;2014-02;32;3343;nucléaire
;2014-03;32;3138;nucléaire
;2014-04;32;1968;nucléaire
;2014-05;32;2392;nucléaire
;2014-06;32;2054;nucléaire
;2014-07;32;2387;nucléaire
;2014-08;32;2627;nucléaire
;2014-09;32;2544;nucléaire
;2014-10;32;3038;nucléaire
;2014-11;32;3435;nucléaire
;2014-12;32;3741;nucléaire
;2015-01;32;3892;nucléaire
;2015-02;32;3674;nucléaire
;2015-03;32;3484;nucléaire
;2015-04;32;2483;nucléaire
;2015-05;32;2574;nucléaire
;2015-06;32;3040;nucléaire
;2015-07;32;3204;nucléaire
;2015-08;32;2418;nucléaire
;2015-09;32;2590;nucléaire
;2015-10;32;3179;nucléaire
;2015-11;32;3092;nucléaire
;2015-12;32;3841;nucléaire
;2016-01;32;3667;nucléaire
;2016-02;32;2866;nucléaire
;2016-03;32;3642;nucléaire
;2016-04;32;2516;nucléaire
;2016-05;32;2407;nucléaire
;2016-06;32;2805;nucléaire
;2016-07;32;2519;nucléaire
;2016-08;32;2181;nucléaire
;2016-09;32;2168;nucléaire
;2016-10;32;1981;nucléaire
;2016-11;32;2073;nucléaire
;2016-12;32;2397;nucléaire
;2017-01;32;3043;nucléaire
;2017-02;32;2457;nucléaire
;2017-03;32;2689;nucléaire
;2017-04;32;2175;nucléaire
;2017-05;32;2562;nucléaire
;2017-06;32;2281;nucléaire
;2017-07;32;1753;nucléaire
;2017-08;32;2792;nucléaire
;2017-09;32;3100;nucléaire
;2017-10;32;2424;nucléaire
;2017-11;32;2815;nucléaire
;2017-12;32;3339;nucléaire
;2018-01;32;3929;nucléaire
;2018-02;32;3533;nucléaire
;2018-03;32;3341;nucléaire
;2018-04;32;2460;nucléaire
;2018-05;32;2472;nucléaire
;2018-06;32;2235;nucléaire
;2018-07;32;2524;nucléaire
;2018-08;32;2237;nucléaire
;2018-09;32;1760;nucléaire
;2018-10;32;3112;nucléaire
;2018-11;32;3021;nucléaire
;2018-12;32;3936;nucléaire
;2019-01;32;4035;nucléaire
;2019-02;32;3335;nucléaire
;2019-03;32;3236;nucléaire
;2019-04;32;2617;nucléaire
;2019-05;32;2491;nucléaire
;2019-06;32;1748;nucléaire
;2019-07;32;2427;nucléaire
;2019-08;32;2353;nucléaire
;2019-09;32;2268;nucléaire
;2019-10;32;1946;nucléaire
;2019-11;32;2411;nucléaire
;2019-12;32;3214;nucléaire
;2014-01;44;8071;nucléaire
